Row,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2022/02/16,0,0,0.0172594049230708,0.0139351957073826,0.0157652894848662,0.0419656709190984,0.0309989426564029,0.41261104578199,0.46746445052719
2022/02/17,0,0,0.0102020250327941,0.00851620572802798,0.00963666921731526,0.0234938647791867,0.0173569359422825,0.433890946108439,0.496903353191954
2022/02/18,0,0,0.0102020250327941,0.00851620572802798,0.00963666921731526,0.0234938647791867,0.0173569359422825,0.433890946108439,0.496903353191954
2022/02/19,0,0,0.0102020250327941,0.00851620572802798,0.00963666921731526,0.0234938647791867,0.0173569359422825,0.433890946108439,0.496903353191954
2022/02/20,0,0,0.0102020250327941,0.00851620572802798,0.00963666921731526,0.0234938647791867,0.0173569359422825,0.433890946108439,0.496903353191954
2022/02/21,0,0,0.0102020250327941,0.00851620572802798,0.00963666921731526,0.0234938647791867,0.0173569359422825,0.433890946108439,0.496903353191954
2022/02/22,0,0,0.0102020250327941,0.00851620572802798,0.00963666921731526,0.0234938647791867,0.0173569359422825,0.433890946108439,0.496903353191954
2022/02/23,0,0,0.0102020250327941,0.00851620572802798,0.00963666921731526,0.0234938647791867,0.0173569359422825,0.433890946108439,0.496903353191954
2022/02/24,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/02/25,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/02/26,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/02/27,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/02/28,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/01,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/02,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/03,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
2022/03/04,0,0,0.411075857567626,0.0409420552614403,0.0820853578939735,0.170543549205889,0.192706142577417,0.0570617883820437,0.0455852491116107
